"pageid","title","access","revision.revid","revision.parentid","revision.user","revision.anon","revision.timestamp","revision.comment","category","raw_category"
3848705,"Roderigo Lopez","2020-03-01T00:00:00Z",934827087,922518860,"50.232.238.198","","2020-01-08T18:48:22Z","Grammar","GA","[('class=GA\n', '', '', 'GA'), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->\n', '', '', '""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->')]"
3848705,"Roderigo Lopez","2020-02-01T00:00:00Z",934827087,922518860,"50.232.238.198","","2020-01-08T18:48:22Z","Grammar","",""
3848705,"Roderigo Lopez","2020-01-01T00:00:00Z",922518860,922518624,"OliviaLeone","","2019-10-22T16:49:43Z","","GA","[('class=GA\n', '', '', 'GA'), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->\n', '', '', '""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->')]"
3848705,"Roderigo Lopez","2019-12-01T00:00:00Z",922518860,922518624,"OliviaLeone","","2019-10-22T16:49:43Z","","",""
3848705,"Roderigo Lopez","2019-11-01T00:00:00Z",922518860,922518624,"OliviaLeone","","2019-10-22T16:49:43Z","","",""
3848705,"Roderigo Lopez","2019-10-01T00:00:00Z",914536305,851986521,"InternetArchiveBot","","2019-09-08T00:53:52Z","Bluelinking 1 books for [[WP:V|verifiability]].) #IABot (v2.1alpha3","GA","[('class=GA\n', '', '', 'GA'), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->\n', '', '', '""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->')]"
3848705,"Roderigo Lopez","2019-09-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","GA","[('class=GA\n', '', '', 'GA'), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=GA|', 'GA', '', ''), ('class=""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->\n', '', '', '""boilerplate"" style=""background-color: #efe; margin: 2em 0 0 0; padding: 0 10px 0 10px; border: 1px dotted #aaa;""><!-- Template:RM top -->')]"
3848705,"Roderigo Lopez","2019-08-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-07-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-06-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-05-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-04-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-03-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-02-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2019-01-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2018-12-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2018-11-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
3848705,"Roderigo Lopez","2018-10-01T00:00:00Z",851986521,851973177,"Martinevans123","","2018-07-25T21:20:52Z","+fr.wiki link","",""
